[0.240s] Invoking command in '/home/useradd/ros2_ws/src/build/moveit_resources_fanuc_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/useradd/ros2_ws/install/twist_mux_bridge:/home/useradd/ros2_ws/install/robot_navigation:/home/useradd/ros2_ws/install/robot_initial_pose:/home/useradd/ros2_ws/install/odom_bridge:/home/useradd/ros2_ws/install/mi_giro_final:/home/useradd/ros2_ws/install/cmd_vel_bridge:/home/useradd/dev_ws/install/robot_description:/home/useradd/dev_ws/install/my_doosan_pkg:/home/useradd/dev_ws/install/mobile_manipulator:/home/useradd/dev_ws/install/doosan_description:/home/useradd/dev_ws/install/bulldog_description:/opt/ros/humble /usr/bin/cmake /home/useradd/ros2_ws/src/moveit_resources/fanuc_description -DCMAKE_INSTALL_PREFIX=/home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description
[3.013s] -- Found ament_cmake: 1.3.11 (/opt/ros/humble/share/ament_cmake/cmake)
[3.015s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[3.015s] -- Configuring done
[3.015s] -- Generating done
[3.015s] -- Build files have been written to: /home/useradd/ros2_ws/src/build/moveit_resources_fanuc_description
[3.039s] Invoked command in '/home/useradd/ros2_ws/src/build/moveit_resources_fanuc_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/useradd/ros2_ws/install/twist_mux_bridge:/home/useradd/ros2_ws/install/robot_navigation:/home/useradd/ros2_ws/install/robot_initial_pose:/home/useradd/ros2_ws/install/odom_bridge:/home/useradd/ros2_ws/install/mi_giro_final:/home/useradd/ros2_ws/install/cmd_vel_bridge:/home/useradd/dev_ws/install/robot_description:/home/useradd/dev_ws/install/my_doosan_pkg:/home/useradd/dev_ws/install/mobile_manipulator:/home/useradd/dev_ws/install/doosan_description:/home/useradd/dev_ws/install/bulldog_description:/opt/ros/humble /usr/bin/cmake /home/useradd/ros2_ws/src/moveit_resources/fanuc_description -DCMAKE_INSTALL_PREFIX=/home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description
[3.039s] Invoking command in '/home/useradd/ros2_ws/src/build/moveit_resources_fanuc_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/useradd/ros2_ws/install/twist_mux_bridge:/home/useradd/ros2_ws/install/robot_navigation:/home/useradd/ros2_ws/install/robot_initial_pose:/home/useradd/ros2_ws/install/odom_bridge:/home/useradd/ros2_ws/install/mi_giro_final:/home/useradd/ros2_ws/install/cmd_vel_bridge:/home/useradd/dev_ws/install/robot_description:/home/useradd/dev_ws/install/my_doosan_pkg:/home/useradd/dev_ws/install/mobile_manipulator:/home/useradd/dev_ws/install/doosan_description:/home/useradd/dev_ws/install/bulldog_description:/opt/ros/humble /usr/bin/cmake --build /home/useradd/ros2_ws/src/build/moveit_resources_fanuc_description -- -j16 -l16
[3.121s] Invoked command in '/home/useradd/ros2_ws/src/build/moveit_resources_fanuc_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/useradd/ros2_ws/install/twist_mux_bridge:/home/useradd/ros2_ws/install/robot_navigation:/home/useradd/ros2_ws/install/robot_initial_pose:/home/useradd/ros2_ws/install/odom_bridge:/home/useradd/ros2_ws/install/mi_giro_final:/home/useradd/ros2_ws/install/cmd_vel_bridge:/home/useradd/dev_ws/install/robot_description:/home/useradd/dev_ws/install/my_doosan_pkg:/home/useradd/dev_ws/install/mobile_manipulator:/home/useradd/dev_ws/install/doosan_description:/home/useradd/dev_ws/install/bulldog_description:/opt/ros/humble /usr/bin/cmake --build /home/useradd/ros2_ws/src/build/moveit_resources_fanuc_description -- -j16 -l16
[3.125s] Invoking command in '/home/useradd/ros2_ws/src/build/moveit_resources_fanuc_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/useradd/ros2_ws/install/twist_mux_bridge:/home/useradd/ros2_ws/install/robot_navigation:/home/useradd/ros2_ws/install/robot_initial_pose:/home/useradd/ros2_ws/install/odom_bridge:/home/useradd/ros2_ws/install/mi_giro_final:/home/useradd/ros2_ws/install/cmd_vel_bridge:/home/useradd/dev_ws/install/robot_description:/home/useradd/dev_ws/install/my_doosan_pkg:/home/useradd/dev_ws/install/mobile_manipulator:/home/useradd/dev_ws/install/doosan_description:/home/useradd/dev_ws/install/bulldog_description:/opt/ros/humble /usr/bin/cmake --install /home/useradd/ros2_ws/src/build/moveit_resources_fanuc_description
[3.142s] -- Install configuration: ""
[3.142s] -- Execute custom install script
[3.142s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/ament_index/resource_index/package_run_dependencies/moveit_resources_fanuc_description
[3.142s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/ament_index/resource_index/parent_prefix_path/moveit_resources_fanuc_description
[3.142s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/environment/ament_prefix_path.sh
[3.142s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/environment/ament_prefix_path.dsv
[3.142s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/environment/path.sh
[3.144s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/environment/path.dsv
[3.146s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/local_setup.bash
[3.147s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/local_setup.sh
[3.151s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/local_setup.zsh
[3.152s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/local_setup.dsv
[3.152s] -- Symlinking: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/package.dsv
[3.181s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/ament_index/resource_index/packages/moveit_resources_fanuc_description
[3.181s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/cmake/moveit_resources_fanuc_descriptionConfig.cmake
[3.181s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/cmake/moveit_resources_fanuc_descriptionConfig-version.cmake
[3.182s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/package.xml
[3.182s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/collision/base_link.stl
[3.183s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/collision/link_1.stl
[3.183s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/collision/link_2.stl
[3.185s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/collision/link_3.stl
[3.188s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/collision/link_4.stl
[3.190s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/collision/link_5.stl
[3.190s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/collision/link_6.stl
[3.191s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/visual/base_link.stl
[3.192s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/visual/link_1.stl
[3.193s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/visual/link_2.stl
[3.197s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/visual/link_3.stl
[3.197s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/visual/link_4.stl
[3.197s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_fanuc_description/share/moveit_resources_fanuc_description/meshes/visual/link_5.stl
