[0.218s] Invoking command in '/home/useradd/ros2_ws/src/build/moveit_resources_pr2_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/useradd/ros2_ws/install/twist_mux_bridge:/home/useradd/ros2_ws/install/robot_navigation:/home/useradd/ros2_ws/install/robot_initial_pose:/home/useradd/ros2_ws/install/odom_bridge:/home/useradd/ros2_ws/install/mi_giro_final:/home/useradd/ros2_ws/install/cmd_vel_bridge:/home/useradd/dev_ws/install/robot_description:/home/useradd/dev_ws/install/my_doosan_pkg:/home/useradd/dev_ws/install/mobile_manipulator:/home/useradd/dev_ws/install/doosan_description:/home/useradd/dev_ws/install/bulldog_description:/opt/ros/humble /usr/bin/cmake /home/useradd/ros2_ws/src/moveit_resources/pr2_description -DCMAKE_INSTALL_PREFIX=/home/useradd/ros2_ws/src/install/moveit_resources_pr2_description
[2.983s] -- Found ament_cmake: 1.3.11 (/opt/ros/humble/share/ament_cmake/cmake)
[2.983s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[2.983s] -- Configuring done
[2.983s] -- Generating done
[2.983s] -- Build files have been written to: /home/useradd/ros2_ws/src/build/moveit_resources_pr2_description
[3.002s] Invoked command in '/home/useradd/ros2_ws/src/build/moveit_resources_pr2_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/useradd/ros2_ws/install/twist_mux_bridge:/home/useradd/ros2_ws/install/robot_navigation:/home/useradd/ros2_ws/install/robot_initial_pose:/home/useradd/ros2_ws/install/odom_bridge:/home/useradd/ros2_ws/install/mi_giro_final:/home/useradd/ros2_ws/install/cmd_vel_bridge:/home/useradd/dev_ws/install/robot_description:/home/useradd/dev_ws/install/my_doosan_pkg:/home/useradd/dev_ws/install/mobile_manipulator:/home/useradd/dev_ws/install/doosan_description:/home/useradd/dev_ws/install/bulldog_description:/opt/ros/humble /usr/bin/cmake /home/useradd/ros2_ws/src/moveit_resources/pr2_description -DCMAKE_INSTALL_PREFIX=/home/useradd/ros2_ws/src/install/moveit_resources_pr2_description
[3.003s] Invoking command in '/home/useradd/ros2_ws/src/build/moveit_resources_pr2_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/useradd/ros2_ws/install/twist_mux_bridge:/home/useradd/ros2_ws/install/robot_navigation:/home/useradd/ros2_ws/install/robot_initial_pose:/home/useradd/ros2_ws/install/odom_bridge:/home/useradd/ros2_ws/install/mi_giro_final:/home/useradd/ros2_ws/install/cmd_vel_bridge:/home/useradd/dev_ws/install/robot_description:/home/useradd/dev_ws/install/my_doosan_pkg:/home/useradd/dev_ws/install/mobile_manipulator:/home/useradd/dev_ws/install/doosan_description:/home/useradd/dev_ws/install/bulldog_description:/opt/ros/humble /usr/bin/cmake --build /home/useradd/ros2_ws/src/build/moveit_resources_pr2_description -- -j16 -l16
[3.060s] Invoked command in '/home/useradd/ros2_ws/src/build/moveit_resources_pr2_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/useradd/ros2_ws/install/twist_mux_bridge:/home/useradd/ros2_ws/install/robot_navigation:/home/useradd/ros2_ws/install/robot_initial_pose:/home/useradd/ros2_ws/install/odom_bridge:/home/useradd/ros2_ws/install/mi_giro_final:/home/useradd/ros2_ws/install/cmd_vel_bridge:/home/useradd/dev_ws/install/robot_description:/home/useradd/dev_ws/install/my_doosan_pkg:/home/useradd/dev_ws/install/mobile_manipulator:/home/useradd/dev_ws/install/doosan_description:/home/useradd/dev_ws/install/bulldog_description:/opt/ros/humble /usr/bin/cmake --build /home/useradd/ros2_ws/src/build/moveit_resources_pr2_description -- -j16 -l16
[3.079s] Invoking command in '/home/useradd/ros2_ws/src/build/moveit_resources_pr2_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/useradd/ros2_ws/install/twist_mux_bridge:/home/useradd/ros2_ws/install/robot_navigation:/home/useradd/ros2_ws/install/robot_initial_pose:/home/useradd/ros2_ws/install/odom_bridge:/home/useradd/ros2_ws/install/mi_giro_final:/home/useradd/ros2_ws/install/cmd_vel_bridge:/home/useradd/dev_ws/install/robot_description:/home/useradd/dev_ws/install/my_doosan_pkg:/home/useradd/dev_ws/install/mobile_manipulator:/home/useradd/dev_ws/install/doosan_description:/home/useradd/dev_ws/install/bulldog_description:/opt/ros/humble /usr/bin/cmake --install /home/useradd/ros2_ws/src/build/moveit_resources_pr2_description
[3.104s] -- Install configuration: ""
[3.104s] -- Execute custom install script
[3.104s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/ament_index/resource_index/package_run_dependencies/moveit_resources_pr2_description
[3.104s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/ament_index/resource_index/parent_prefix_path/moveit_resources_pr2_description
[3.106s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/environment/ament_prefix_path.sh
[3.106s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/environment/ament_prefix_path.dsv
[3.108s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/environment/path.sh
[3.109s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/environment/path.dsv
[3.111s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/local_setup.bash
[3.114s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/local_setup.sh
[3.114s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/local_setup.zsh
[3.114s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/local_setup.dsv
[3.114s] -- Symlinking: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/package.dsv
[3.145s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/ament_index/resource_index/packages/moveit_resources_pr2_description
[3.145s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/cmake/moveit_resources_pr2_descriptionConfig.cmake
[3.146s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/cmake/moveit_resources_pr2_descriptionConfig-version.cmake
[3.152s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/package.xml
[3.153s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/srdf/robot.xml
[3.181s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/materials/textures/pr2_caster_texture.png
[3.181s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/materials/textures/pr2_wheel_left.png
[3.181s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/materials/textures/pr2_wheel_right.png
[3.192s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/meshes/base_v0/base.dae
[3.201s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/meshes/base_v0/base.stl
[3.217s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/meshes/base_v0/base_L.stl
[3.222s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/meshes/base_v0/base_color.tif
[3.222s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/meshes/base_v0/base_normals.tif
[3.236s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/meshes/base_v0/caster.stl
[3.236s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/meshes/base_v0/caster_L.stl
[3.240s] -- Up-to-date symlink: /home/useradd/ros2_ws/src/install/moveit_resources_pr2_description/share/moveit_resources_pr2_description/urdf/meshes/base_v0/convex/base.dae
